Machinename quartz Date 2019-08-02 15:06:37.213476 Discretization Type sdm_ld fem_unlump Parallel run F,,,,,,,,,,,,,,,,,,
Nx,Ny,Nz,Nm,Ng,Np,Px,Py,Pz,Ax,Ay,Az,Ami,Ag,Scattering Moments,Overall Time,Sweep Time,Grind Time,Over All Memory
8,8,8,168,1,1,1,1,1,1,1,1,1,1,1,4.63,4.26,1238.141741,278
8,8,8,168,1,1,1,1,1,1,1,1,3,1,1,1.65,1.48,430.15253,114
8,8,8,168,1,1,1,1,1,1,1,1,7,1,1,0.843,0.691,200.834728,58
8,8,8,168,1,1,1,1,1,1,1,1,21,1,1,0.522,0.376,109.281994,36
8,8,8,168,1,1,1,1,1,1,1,2,1,1,1,3.31,3.07,892.275856,170
8,8,8,168,1,1,1,1,1,1,1,2,3,1,1,1.17,0.998,290.062314,66
8,8,8,168,1,1,1,1,1,1,1,2,7,1,1,0.696,0.544,158.110119,43
8,8,8,168,1,1,1,1,1,1,1,2,21,1,1,0.479,0.333,96.784319,30
8,8,8,168,1,1,1,1,1,1,1,4,1,1,1,2.38,2.15,624.883743,113
8,8,8,168,1,1,1,1,1,1,1,4,3,1,1,0.957,0.791,229.899089,50
8,8,8,168,1,1,1,1,1,1,1,4,7,1,1,0.624,0.473,137.474423,35
8,8,8,168,1,1,1,1,1,1,1,4,21,1,1,0.456,0.311,90.39016,27
8,8,8,168,1,1,1,1,1,1,1,8,1,1,1,2.11,1.88,546.40997,83
8,8,8,168,1,1,1,1,1,1,1,8,3,1,1,0.867,0.705,204.903739,42
8,8,8,168,1,1,1,1,1,1,1,8,7,1,1,0.587,0.437,127.011254,31
8,8,8,168,1,1,1,1,1,1,1,8,21,1,1,0.441,0.298,86.611793,25
8,8,8,168,1,1,1,1,1,1,2,1,1,1,1,3.17,2.94,854.492188,170
8,8,8,168,1,1,1,1,1,1,2,1,3,1,1,1.18,1.01,293.550037,66
8,8,8,168,1,1,1,1,1,1,2,1,7,1,1,0.698,0.547,158.98205,43
8,8,8,168,1,1,1,1,1,1,2,1,21,1,1,0.48,0.337,97.946894,30
8,8,8,168,1,1,1,1,1,1,2,2,1,1,1,2.46,2.23,648.135231,111
8,8,8,168,1,1,1,1,1,1,2,2,3,1,1,0.977,0.812,236.002604,49
8,8,8,168,1,1,1,1,1,1,2,2,7,1,1,0.636,0.485,140.962147,35
8,8,8,168,1,1,1,1,1,1,2,2,21,1,1,0.457,0.314,91.262091,27
8,8,8,168,1,1,1,1,1,1,2,4,1,1,1,2,1.78,517.34561,81
8,8,8,168,1,1,1,1,1,1,2,4,3,1,1,0.874,0.712,206.938244,41
8,8,8,168,1,1,1,1,1,1,2,4,7,1,1,0.609,0.46,133.696057,31
8,8,8,168,1,1,1,1,1,1,2,4,21,1,1,0.439,0.299,86.902437,26
8,8,8,168,1,1,1,1,1,1,2,8,1,1,1,1.82,1.61,467.936198,65
8,8,8,168,1,1,1,1,1,1,2,8,3,1,1,0.844,0.682,198.218936,36
8,8,8,168,1,1,1,1,1,1,2,8,7,1,1,0.574,0.427,124.104818,29
8,8,8,168,1,1,1,1,1,1,2,8,21,1,1,0.433,0.294,85.449219,25
8,8,8,168,1,1,1,1,1,1,4,1,1,1,1,2.43,2.2,639.415923,113
8,8,8,168,1,1,1,1,1,1,4,1,3,1,1,0.968,0.802,233.096168,50
8,8,8,168,1,1,1,1,1,1,4,1,7,1,1,0.629,0.481,139.799572,35
8,8,8,168,1,1,1,1,1,1,4,1,21,1,1,0.452,0.311,90.39016,27
8,8,8,168,1,1,1,1,1,1,4,2,1,1,1,2.02,1.79,520.252046,81
8,8,8,168,1,1,1,1,1,1,4,2,3,1,1,0.881,0.718,208.682106,41
8,8,8,168,1,1,1,1,1,1,4,2,7,1,1,0.594,0.445,129.336403,31
8,8,8,168,1,1,1,1,1,1,4,2,21,1,1,0.441,0.299,86.902437,26
8,8,8,168,1,1,1,1,1,1,4,4,1,1,1,2.1,1.61,467.936198,64
8,8,8,168,1,1,1,1,1,1,4,4,3,1,1,0.85,0.687,199.672154,36
8,8,8,168,1,1,1,1,1,1,4,4,7,1,1,0.574,0.427,124.104818,29
8,8,8,168,1,1,1,1,1,1,4,4,21,1,1,0.434,0.294,85.449219,25
8,8,8,168,1,1,1,1,1,1,4,8,1,1,1,1.74,1.52,441.778274,56
8,8,8,168,1,1,1,1,1,1,4,8,3,1,1,0.915,0.729,211.879185,34
8,8,8,168,1,1,1,1,1,1,4,8,7,1,1,0.565,0.418,121.489025,27
8,8,8,168,1,1,1,1,1,1,4,8,21,1,1,0.431,0.291,84.577288,24
8,8,8,168,1,1,1,1,1,1,8,1,1,1,1,2.01,1.79,520.252046,83
8,8,8,168,1,1,1,1,1,1,8,1,3,1,1,0.88,0.718,208.682106,42
8,8,8,168,1,1,1,1,1,1,8,1,7,1,1,0.593,0.446,129.627046,31
8,8,8,168,1,1,1,1,1,1,8,1,21,1,1,0.445,0.303,88.065011,25
8,8,8,168,1,1,1,1,1,1,8,2,1,1,1,1.86,1.64,476.655506,65
8,8,8,168,1,1,1,1,1,1,8,2,3,1,1,0.851,0.688,199.962798,36
8,8,8,168,1,1,1,1,1,1,8,2,7,1,1,0.575,0.428,124.395461,29
8,8,8,168,1,1,1,1,1,1,8,2,21,1,1,0.438,0.298,86.611793,25
8,8,8,168,1,1,1,1,1,1,8,4,1,1,1,1.76,1.54,447.591146,56
8,8,8,168,1,1,1,1,1,1,8,4,3,1,1,0.83,0.667,193.859282,34
8,8,8,168,1,1,1,1,1,1,8,4,7,1,1,0.568,0.42,122.070312,27
8,8,8,168,1,1,1,1,1,1,8,4,21,1,1,0.433,0.292,84.867932,24
8,8,8,168,1,1,1,1,1,1,8,8,1,1,1,1.67,1.44,418.526786,51
8,8,8,168,1,1,1,1,1,1,8,8,3,1,1,0.796,0.631,183.396112,32
8,8,8,168,1,1,1,1,1,1,8,8,7,1,1,0.651,0.474,137.765067,27
8,8,8,168,1,1,1,1,1,1,8,8,21,1,1,0.429,0.287,83.414714,24
8,8,8,168,1,1,1,1,1,2,1,1,1,1,1,3.18,2.95,857.398624,170
8,8,8,168,1,1,1,1,1,2,1,1,3,1,1,1.2,1.03,299.362909,66
8,8,8,168,1,1,1,1,1,2,1,1,7,1,1,0.709,0.555,161.307199,43
8,8,8,168,1,1,1,1,1,2,1,1,21,1,1,0.48,0.334,97.074963,30
8,8,8,168,1,1,1,1,1,2,1,2,1,1,1,2.47,2.24,651.041667,111
8,8,8,168,1,1,1,1,1,2,1,2,3,1,1,0.992,0.825,239.780971,49
8,8,8,168,1,1,1,1,1,2,1,2,7,1,1,0.643,0.491,142.706008,35
8,8,8,168,1,1,1,1,1,2,1,2,21,1,1,0.539,0.351,102.015904,27
8,8,8,168,1,1,1,1,1,2,1,4,1,1,1,2.04,1.81,526.064918,81
8,8,8,168,1,1,1,1,1,2,1,4,3,1,1,0.892,0.727,211.297898,41
8,8,8,168,1,1,1,1,1,2,1,4,7,1,1,0.597,0.447,129.91769,31
